ID;sexe;situation_relationnelle;duree_relation;sexe_partenaire;enceinte;partenaire_enceinte;enfants;souhait_enfant;partenaires_femmes;partenaires_hommes;grossesse_anterieure;grossesse_anterieure_partenaire;grossesse_cont_aucune;grossesse_cont_pres;grossesse_cont_autre;cont_pilule;cont_sterilet;cont_implant;cont_preservatif_masculin;cont_retrait;cont_autres;cont_aucun;nocont_inactivite;nocont_enfant_souhait;nocont_enfant_impossible;pilule_lendemain;pilule_lendemain_cause;opinion_epanouie;opinion_grossir;opinion_contrainte;opinion_difficulte_apres;opinion_sante;probleme_medical;probleme_endometriose;probleme_regles_douloureuses;probleme_acne;medecin_gyneco;medecin_effets_secondaires;medecin_benefices;medecin_risques;mutuelle;renoncement_soins;habitat_TUU2014;demo_age;demo_diplome;demo_revenus;religion_importance;religion_education;politique_gauche_droite;ponderation
806;2;2;6;6;3;6;1;1;0;4;1;6;1;2;2;2;2;2;2;2;2;1;2;2;2;6;2;3;3;3;3;3;2;2;1;2;2;6;6;6;1;2;3;5;96;96;96;96;NA;0,526166285
807;2;1;3;1;3;6;2;2;0;6;1;6;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;2;3;2;4;1;1;2;2;2;1;1;2;2;96;96;0;5;1;9;96;96;996;1,520029594
808;1;1;3;2;6;3;1;2;25;0;6;1;1;2;2;2;2;2;2;2;2;1;1;2;2;1;66;1;5;4;3;5;6;6;6;6;6;6;6;6;1;2;3;8;1;10;1;1;3;1,851753873
809;1;2;6;6;6;6;2;2;25;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;1;3;4;1;5;6;6;6;6;6;6;6;6;1;1;2;8;3;5;1;2;6;1,091757639
810;2;1;3;1;3;6;1;1;0;1;1;6;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;1;5;2;5;5;2;2;2;2;1;1;1;2;2;1;2;2;3;7;4;2;11;1,926745854
811;1;1;3;2;6;3;2;1;6;0;6;2;6;6;6;1;2;2;1;2;2;2;6;6;6;1;66;2;5;1;5;5;6;6;6;6;6;6;6;6;1;2;2;3;1;11;1;1;5;1,265046129
812;1;1;3;2;6;3;1;2;20;0;6;1;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;1;2;3;4;4;6;6;6;6;6;6;6;6;1;2;3;5;5;13;1;1;6;0,497578499
813;1;1;3;2;6;3;2;1;15;0;6;1;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;4;5;2;3;4;6;6;6;6;6;6;6;6;96;96;0;5;96;96;96;96;996;1,485129431
814;1;1;2;2;6;3;1;1;20;1;6;1;1;2;2;2;2;2;2;2;1;2;6;6;6;1;66;2;5;2;5;5;6;6;6;6;6;6;6;6;1;2;2;2;1;5;1;2;88;0,674789787
815;1;2;6;6;6;6;2;2;5;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;1;3;4;4;4;6;6;6;6;6;6;6;6;1;2;2;5;3;3;4;1;6;0,873283342
816;2;1;3;1;3;6;1;2;0;25;1;6;1;2;2;2;2;1;2;2;2;2;6;6;6;1;66;2;5;1;2;2;2;2;2;2;1;1;2;2;1;1;2;5;2;10;3;1;8;0,498383277
817;1;2;6;6;6;6;2;1;3;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;3;3;2;4;5;6;6;6;6;6;6;6;6;1;2;3;3;4;10;2;1;7;0,858752811
818;1;1;3;2;6;3;1;2;5;0;6;1;1;2;2;1;2;2;2;1;2;2;6;6;6;1;66;1;5;4;5;5;6;6;6;6;6;6;6;6;1;2;2;4;5;11;1;1;3;0,493871179
819;2;2;6;6;3;6;2;3;0;2;2;6;6;6;6;2;2;2;2;2;2;1;1;2;2;1;66;1;4;2;1;1;2;2;2;2;1;1;2;2;1;2;4;7;5;9;2;1;3;0,56072349
820;1;1;3;2;6;3;1;2;8;0;6;1;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;1;2;1;1;1;6;6;6;6;6;6;6;6;1;2;3;5;2;11;1;1;4;1,205641633
821;1;1;3;2;6;3;2;1;10;0;6;2;6;6;6;2;2;2;1;2;2;2;6;6;6;1;66;5;5;5;5;5;6;6;6;6;6;6;6;6;8;2;4;3;5;77;3;2;88;0,405876595
822;1;1;2;2;6;3;1;3;10;0;6;2;6;6;6;2;2;2;2;2;2;1;2;2;2;1;66;2;5;5;5;2;6;6;6;6;6;6;6;6;1;2;3;9;5;10;2;1;6;0,539719399
823;1;1;3;2;6;3;1;2;2;0;6;1;1;2;2;2;1;2;2;1;2;2;6;6;6;1;66;3;1;1;4;5;6;6;6;6;6;6;6;6;1;2;1;3;2;11;2;1;6;0,757393762
824;1;1;3;2;6;3;2;2;6;0;6;1;1;2;2;2;2;2;2;2;2;1;1;2;2;1;66;1;5;2;5;2;6;6;6;6;6;6;6;6;1;2;0;7;2;10;2;2;1;0,425082776
825;1;1;3;2;6;3;2;1;15;4;6;1;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;5;5;4;5;5;6;6;6;6;6;6;6;6;1;1;2;2;2;9;1;2;3;0,68143291
826;1;1;2;2;6;3;2;1;10;0;6;2;6;6;6;1;2;2;2;2;2;2;6;6;6;1;66;3;2;3;5;3;6;6;6;6;6;6;6;6;1;1;3;1;5;3;3;2;2;0,640931541
827;2;1;3;1;3;6;1;3;0;15;1;6;2;1;2;2;2;2;2;2;2;1;2;2;1;1;66;2;5;2;5;5;2;2;2;2;1;2;2;2;1;2;0;9;2;13;1;1;4;1,42596827
828;2;1;2;1;3;6;2;1;0;5;1;6;2;2;1;2;2;2;2;2;1;2;6;6;6;6;5;3;1;5;1;1;2;2;1;2;1;2;2;2;1;2;4;2;5;9;4;1;6;1,159407523
829;1;1;3;2;6;3;1;3;5;0;6;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;66;1;2;3;3;2;6;6;6;6;6;6;6;6;1;2;0;8;2;12;1;1;2;1,222394019
830;1;1;3;2;6;3;1;2;2;0;6;1;1;2;2;2;2;2;2;2;1;2;6;6;6;1;66;2;5;2;3;5;6;6;6;6;6;6;6;6;1;2;4;7;5;12;2;1;9;0,731270043
831;1;1;3;2;6;3;1;2;1;0;6;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;66;2;5;4;3;2;6;6;6;6;6;6;6;6;1;2;2;8;5;12;4;2;10;0,768315346
832;1;1;3;2;6;3;1;1;15;5;6;1;1;2;2;2;2;2;1;2;2;2;6;6;6;1;66;3;2;2;5;5;6;6;6;6;6;6;6;6;1;2;3;2;5;12;1;2;5;0,290241723
833;1;1;3;2;6;3;1;2;10;0;6;2;6;6;6;2;2;2;2;2;1;2;6;6;6;1;66;2;5;1;4;1;6;6;6;6;6;6;6;6;96;96;2;5;96;96;96;96;996;1,834678864
